ts,root_cpu,root_rss_kb,tree_cpu,tree_rss_kb,npids
1784453011.121,44.6,473164,39.1,473164,1
1784453011.658,42.9,475888,46.6,475888,1
1784453012.195,14.9,474776,11.2,474776,1
1784453012.733,3.7,474220,3.7,474216,1
1784453013.271,81.8,476832,81.8,477136,1
1784453013.808,91.2,479444,95.0,479444,1
1784453014.346,44.6,480476,40.9,480764,1
1784453014.884,91.0,483748,91.0,483748,1
1784453015.419,93.5,486272,97.2,486272,1
1784453015.957,20.5,486364,16.7,486364,1
1784453016.495,66.9,489004,70.6,489004,1
1784453017.034,63.1,490664,59.4,490664,1
1784453017.570,48.5,491732,48.5,491732,1
1784453018.108,0.0,491484,0.0,491484,1
1784453018.646,3.7,491492,3.7,491492,1
1784453019.184,0.0,491484,0.0,491796,1
1784453019.722,27.9,491684,27.9,491684,1
1784453020.259,66.9,495112,72.5,495116,1
1784453020.796,11.2,493724,7.5,493724,1
1784453021.334,1.9,493648,0.0,493648,1
1784453021.870,3.7,493652,3.7,493652,1
1784453022.408,0.0,493648,0.0,493648,1
1784453022.947,3.7,493644,3.7,493644,1
1784453023.485,1.9,493644,1.9,493644,1
1784453024.022,1.9,493644,1.9,493644,1
1784453024.559,5.6,493652,5.6,493652,1
1784453025.097,0.0,493644,0.0,493644,1
1784453025.636,48.3,500260,48.3,500260,1
1784453026.173,0.0,495112,0.0,495112,1
1784453026.710,3.7,495104,3.7,495104,1
1784453027.248,29.8,505416,35.3,506100,1
1784453027.786,29.7,497872,24.1,497872,1
1784453028.323,1.9,496760,1.9,496760,1
1784453028.859,1.9,496756,1.9,496756,1
1784453029.396,3.7,496776,3.7,496776,1
1784453029.934,9.3,496728,9.3,496720,1
1784453030.470,0.0,496644,0.0,496644,1
1784453031.008,3.7,496644,3.7,496644,1
1784453031.546,5.6,496644,5.6,496644,1
1784453032.084,0.0,496644,0.0,496644,1
1784453032.621,18.6,498560,22.3,499520,1
1784453033.160,33.4,499520,29.7,499500,1
1784453033.700,3.7,497628,3.7,497628,1
1784453034.254,5.4,499832,14.4,502672,2
1784453034.791,57.8,500864,48.5,500864,1
1784453035.328,3.7,499412,3.7,499412,1
1784453035.865,9.3,499280,9.3,499280,1
1784453036.403,0.0,499256,0.0,499256,1
1784453036.943,3.7,499264,3.7,499264,1
1784453037.481,0.0,499256,0.0,499256,1
1784453038.019,5.6,499264,5.6,499264,1
1784453038.556,5.6,499256,5.6,499256,1
1784453039.093,0.0,499264,0.0,499256,1
1784453039.631,13.0,499308,13.0,499308,1
1784453040.168,106.2,496240,106.2,496240,1
1784453040.705,65.2,457464,67.1,453820,1
1784453041.241,39.2,448896,41.0,449712,1
1784453041.777,67.1,451460,65.3,451460,1
1784453042.314,26.1,450704,24.2,450704,1
1784453042.851,48.4,453020,48.4,453020,1
1784453043.390,94.7,457836,96.6,458232,1
1784453043.928,65.0,458668,66.9,458668,1
1784453044.467,81.6,461576,81.6,461684,1
1784453045.006,83.5,463284,79.8,463352,1
1784453045.542,83.9,465180,85.8,465180,1
1784453046.079,59.6,466184,57.7,466184,1
1784453046.616,1.9,466160,1.9,466160,1
1784453047.154,46.5,469548,52.0,469536,1
1784453047.691,74.5,471400,68.9,471400,1
1784453048.226,33.7,472292,33.7,472292,1
1784453048.759,3.7,472136,3.7,472136,1
1784453049.293,86.2,491096,89.9,491096,1
1784453049.829,78.4,482012,74.6,482012,1
1784453050.363,168.6,570840,177.9,577916,1
